fra;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
FR;1;2022-06-15;42531844;41351803;26099368;1981502;28292581
FR;2;2022-06-15;6119703;6804123;10635686;159149;11755687
FR;3;2022-06-15;4415136;3440195;4418;2;2994
FR;4;2022-06-15;1079995;6488;1272;23;3773
FR;5;2022-06-15;269960;178662;2704;386;3836
FR;6;2022-06-15;13488;8705;711;350;1182
FR;0;2022-06-15;54430127;51789979;36744159;2141412;40060053
