01/09/2021;10504
02/09/2021;10933
03/09/2021;12026
04/09/2021;10684
05/09/2021;9924
06/09/2021;6986
07/09/2021;9215
08/09/2021;12027
09/09/2021;12259
10/09/2021;11905
11/09/2021;11507
12/09/2021;10776
13/09/2021;9056
14/09/2021;9909
15/09/2021;11892
16/09/2021;11674
17/09/2021;12701
18/09/2021;11945
19/09/2021;9276
20/09/2021;8431
21/09/2021;8782
22/09/2021;12027
23/09/2021;12625
24/09/2021;13467
25/09/2021;12969
26/09/2021;11249
27/09/2021;8841
28/09/2021;11807
29/09/2021;13477
30/09/2021;14392
